district,province,latitude,longitude
Karachi, Sindh,24.8607,67.0011
Hyderabad,Sindh,25.3960,68.3578
Sukkur,Sindh,27.7052,68.8574
Larkana,Sindh,27.5609,68.2264
Thatta,Sindh,24.7475,67.9248
Badin,Sindh,24.6560,68.8370
Mirpur Khas,Sindh,25.5269,69.0126
Nawabshah,Sindh,26.2442,68.4100
Khairpur,Sindh,27.5295,68.7592
Jacobabad,Sindh,28.2819,68.4376
Lahore,Punjab,31.5204,74.3587
Rawalpindi,Punjab,33.5651,73.0169
Islamabad,Islamabad,33.6844,73.0479
Faisalabad,Punjab,31.4504,73.1350
Multan,Punjab,30.1575,71.5249
Sialkot,Punjab,32.4945,74.5229
Gujranwala,Punjab,32.1877,74.1945
Sargodha,Punjab,32.0836,72.6711
Bahawalpur,Punjab,29.3956,71.6836
Rahim Yar Khan,Punjab,28.4202,70.2952
Dera Ghazi Khan,Punjab,30.0459,70.6403
Peshawar,Khyber Pakhtunkhwa,34.0151,71.5249
Mardan,Khyber Pakhtunkhwa,34.1989,72.0401
Swat,Khyber Pakhtunkhwa,35.2227,72.4258
Abbottabad,Khyber Pakhtunkhwa,34.1688,73.2215
Mansehra,Khyber Pakhtunkhwa,34.3302,73.1968
Kohat,Khyber Pakhtunkhwa,33.5889,71.4429
Bannu,Khyber Pakhtunkhwa,32.9854,70.6027
Dera Ismail Khan,Khyber Pakhtunkhwa,31.8315,70.9017
Quetta,Balochistan,30.1798,66.9750
Gwadar,Balochistan,25.1216,62.3254
Khuzdar,Balochistan,27.8126,66.6100
Turbat,Balochistan,26.0023,63.0440
Zhob,Balochistan,31.3408,69.4493
Gilgit,Gilgit Baltistan,35.9208,74.3140
Skardu,Gilgit Baltistan,35.2971,75.6337
Muzaffarabad,AJK,34.3700,73.4711
Mirpur,AJK,33.1480,73.7510
